gvkey,year,lobbying,elobbying,green_lobbying,brown_lobbying
001300,2006,5795000,2006166.666666667,32000,23333.33333333333
001300,2007,6765000,1983146.52014652,0,48000
001300,2008,6521000,2412211.371961372,138333.3333333333,25000
001300,2009,9322000,2232408.963585434,101666.6666666667,62500
001300,2010,8765000,2072936.507936508,195000,37698.4126984127
001300,2011,8580000,2439513.071895425,106666.6666666667,70000
001300,2012,9749997,2896340.991841492,1666.666666666667,130000
001300,2013,7250000,1469046.62004662,83333.33333333333,88000
001300,2014,6715000,1339102.564102564,0,60000
001300,2015,6180000,1627587.301587302,0,74285.71428571429
001300,2016,6173000,1521725.607725607,22727.27272727273,98000
001300,2017,6923000,1505380.952380952,0,224214.2857142857
001300,2018,7150000,1895833.333333333,0,1630833.333333333
001300,2019,7962000,2026744.505494505,150000,651000
001300,2020,6239000,1374897.619047619,0,650714.2857142857
001318,1999,220000,0,0,0
001318,2000,240000,0,0,0
001318,2001,290000,0,0,0
001318,2002,290000,0,0,0
001318,2003,220000,0,0,0
001318,2004,75000,0,0,0
001318,2005,60000,0,0,0
001318,2006,100000,0,0,0
001356,1999,1140000,240000,0,0
001356,2000,1285000,198333.3333333333,0,0
001356,2001,2005000,719166.6666666666,0,0
001356,2002,1685000,593452.3809523809,0,0
001356,2003,1820000,663333.3333333333,0,0
001356,2004,1920000,673333.3333333333,0,0
001356,2005,1785000,737000,0,110000
001356,2006,1720000,960000,280000,0
001356,2007,2580000,1298000,280000,0
001356,2008,2980000,1435666.666666667,165000,0
001356,2009,2070000,787142.857142857,170000,0
001356,2010,990000,580000,170000,0
001356,2011,1000000,590000,190000,0
001356,2012,960000,520000,150000,0
001356,2013,800000,303333.3333333333,100000,43333.33333333333
001356,2014,280000,189333.3333333333,0,93333.33333333333
001356,2015,280000,170285.7142857143,0,70000
001380,2000,5000,0,0,0
001380,2001,341000,106666.6666666667,0,0
001380,2002,1065000,565000,0,5000
001380,2003,1365000,583333.3333333333,0,10000
001380,2004,1255000,471666.6666666666,0,5000
001380,2005,1230000,610000,0,120000
001380,2006,1600000,1020000,60000,120000
001380,2007,1540000,980000,60000,0
001380,2008,2195000,1195833.333333333,0,0
001380,2009,2445000,1080500,0,0
001380,2010,1100000,380000,0,135000
001380,2011,1260000,360000,0,0
001380,2012,1070000,295000,0,40000
001380,2013,860000,20000,0,0
001380,2014,1055000,5000,0,0
001380,2015,1560000,511424.2424242424,40000,327424.2424242424
001380,2016,1500000,482969.696969697,60000,349636.3636363636
001380,2017,1460000,230000,40000,0
001380,2018,1100000,265454.5454545455,0,0
001380,2019,380000,35000,0,0
001380,2020,415000,125000,0,50000
001382,2005,140000,0,0,0
001382,2006,30000,0,0,0
001382,2007,25000,0,0,0
001382,2008,10000,0,0,0
001382,2009,80000,0,0,0
